learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
1000.0,1.124357,5.3057372481044803E-8,1000.0,90.3,79.37276183833349,75.0642673521851,75.0642673521851,1000.0,182408.0
2000.0,1.853827,8.811447112717562E-8,2000.0,93.0,85.13314332074607,84.78260869565219,81.9121447028424,2000.0,185768.0
3000.0,2.638153,1.2648961981344553E-7,3000.0,92.80000000000001,83.43936738383407,84.03547671840356,78.24773413897283,3000.0,189128.0
4000.0,3.333298,1.6050136076493396E-7,4000.0,93.7,81.89759209240849,83.84615384615385,74.2857142857143,4000.0,189128.0
5000.0,4.166693,2.01277335346159E-7,5000.0,91.9,81.77793375266583,81.95991091314032,77.31092436974791,5000.0,189128.0
6000.0,4.875446,2.3657095487333006E-7,6000.0,93.10000000000001,85.76650466611109,86.88212927756655,83.53221957040574,6000.0,192488.0
7000.0,5.788721,2.818374187602765E-7,7000.0,90.9,80.54524619884042,81.35245901639345,76.30208333333334,7000.0,191592.0
8000.0,6.488696,3.165925150654382E-7,8000.0,92.10000000000001,83.81545521593051,84.00809716599191,82.04545454545456,8000.0,191928.0
9000.0,7.410662,3.629537691838211E-7,9000.0,90.10000000000001,80.11616977175774,81.90127970749545,79.50310559006212,9000.0,194376.0
10000.0,8.662591,4.231945057254698E-7,10000.0,90.2,79.51505016722409,80.04073319755601,75.80246913580247,10000.0,186000.0
11000.0,9.693277,4.7317549148367504E-7,11000.0,87.3,74.56520520071457,75.52986512524085,74.2914979757085,11000.0,187448.0
12000.0,10.567337,5.166484080337815E-7,12000.0,89.1,78.21098166524072,78.33001988071571,77.19665271966527,12000.0,192256.0
13000.0,11.333118,5.541051012732916E-7,13000.0,93.30000000000001,86.35159910368712,85.62231759656653,84.59770114942529,13000.0,189072.0
14000.0,12.055605,5.897895582289331E-7,14000.0,93.2,85.61218055867059,85.59322033898306,82.2454308093995,14000.0,190920.0
15000.0,12.767801,6.250895440102451E-7,15000.0,94.19999999999999,87.56432246998284,87.5268817204301,84.73684210526315,15000.0,191592.0
16000.0,13.490123,6.610169982806676E-7,16000.0,93.10000000000001,85.28910114275969,85.77319587628867,81.8421052631579,16000.0,192264.0
17000.0,14.212001,6.971419869259828E-7,17000.0,94.1,86.77307985472805,87.6050420168067,82.89855072463766,17000.0,193440.0
18000.0,14.88377,7.308177600324982E-7,18000.0,95.89999999999999,90.32105760151086,90.53117782909929,86.7313915857605,18000.0,193776.0
19000.0,15.568084,7.651224138608409E-7,19000.0,93.10000000000001,83.0015766653528,82.92079207920794,77.59740259740262,19000.0,193776.0
20000.0,16.25811,7.996834204739167E-7,20000.0,94.3,85.66369544658845,86.80555555555554,80.74324324324323,20000.0,193608.0
21000.0,16.956135,8.346754065921737E-7,21000.0,91.4,75.82694340131772,77.94871794871796,66.66666666666669,21000.0,193776.0
22000.0,17.666036,8.70540418136451E-7,22000.0,94.1,84.37499999999999,85.24999999999999,78.54545454545453,22000.0,195288.0
23000.0,18.361779,9.059018186190063E-7,23000.0,94.5,86.38627340323362,86.0759493670886,81.29251700680271,23000.0,196464.0
24000.0,19.067568,9.417738108419711E-7,24000.0,91.4,81.05651765929046,81.5845824411135,76.56675749318802,24000.0,196464.0
25000.0,19.863333,9.82218867213362E-7,25000.0,91.9,81.50161232860445,82.87526427061312,75.67567567567568,25000.0,196464.0
26000.0,20.639529,1.021703056589597E-6,26000.0,91.3,80.29052223319711,81.37044967880087,75.07163323782235,26000.0,196632.0
27000.0,21.719785,1.0767013749438858E-6,27000.0,90.10000000000001,78.67316955476473,77.90178571428572,74.35233160621763,27000.0,196800.0
28000.0,23.065461,1.14246402265711E-6,28000.0,88.0,75.78291807764805,75.10373443983403,74.63002114164905,28000.0,188904.0
29000.0,24.004468,1.1882304864707923E-6,29000.0,89.2,78.4434579886948,79.50664136622392,78.94736842105263,29000.0,188400.0
30000.0,24.689977,1.2212557613559897E-6,30000.0,91.7,83.39694503788698,84.36911487758945,83.46613545816733,30000.0,186224.0
31000.0,25.427576,1.2570469973401893E-6,31000.0,90.7,81.42051175502246,80.625,80.58455114822547,31000.0,187568.0
32000.0,26.174035,1.2941101130698292E-6,32000.0,91.5,82.90467647603035,83.13492063492063,81.4814814814815,32000.0,191928.0
33000.0,26.913432,1.3311118061944016E-6,33000.0,91.60000000000001,83.07870818023594,83.87715930902112,82.05128205128206,33000.0,193440.0
34000.0,27.638506,1.3672706806266474E-6,34000.0,92.9,85.60293294616714,85.56910569105692,83.90022675736962,34000.0,192768.0
35000.0,28.282023,1.3995301812618145E-6,35000.0,93.8,86.89600074396898,86.58008658008657,83.64116094986805,35000.0,193776.0
36000.0,28.917937,1.4314914573335815E-6,36000.0,94.69999999999999,88.0786360160151,88.22222222222221,83.93939393939392,36000.0,194280.0
37000.0,29.559826,1.46378093674572E-6,37000.0,91.8,81.49009268497494,81.57303370786518,74.61300309597524,37000.0,194448.0
38000.0,30.22093,1.4958603312054444E-6,38000.0,91.9,80.81932275633437,82.1978021978022,75.07692307692308,38000.0,187568.0
39000.0,30.903877,1.5296526399979162E-6,39000.0,91.9,81.05706267539757,81.11888111888112,74.60815047021944,39000.0,191264.0
40000.0,31.626933,1.5661403568647802E-6,40000.0,92.10000000000001,82.44616081983096,82.67543859649123,78.17679558011051,40000.0,195064.0
41000.0,32.418221,1.6062088414923184E-6,41000.0,90.8,78.77602244204932,79.23250564334087,72.28915662650604,41000.0,195736.0
42000.0,33.161638,1.6428855133574041E-6,42000.0,91.4,80.72958680648921,81.05726872246697,74.85380116959065,42000.0,190704.0
43000.0,34.049562,1.685996843131466E-6,43000.0,91.0,81.46225715556875,82.07171314741036,78.87323943661973,43000.0,187680.0
44000.0,34.991676,1.7324762833884192E-6,44000.0,91.5,82.69896193771626,83.201581027668,80.76923076923077,44000.0,190704.0
45000.0,35.980537,1.7813479543001286E-6,45000.0,90.9,81.44190295950665,81.54158215010142,78.98383371824481,45000.0,191040.0
46000.0,37.050785,1.835216544761012E-6,46000.0,90.2,80.21025593389417,79.28118393234672,78.36644591611478,46000.0,194560.0
47000.0,38.264685,1.8943660037654142E-6,47000.0,90.7,80.57189651714688,81.02040816326532,76.98019801980199,47000.0,188352.0
48000.0,39.508229,1.956200417207761E-6,48000.0,90.0,79.2956375908404,79.03563941299791,76.13365155131265,48000.0,192208.0
49000.0,40.73522,2.0164143758287858E-6,49000.0,91.8,83.33787139275076,83.02277432712216,80.97447795823666,49000.0,189696.0
50000.0,41.771238,2.0675265944521456E-6,50000.0,92.9,85.37662401858611,85.39094650205762,83.21513002364067,50000.0,190704.0
51000.0,42.81964,2.119340911658687E-6,51000.0,89.1,76.80160047673775,77.57201646090536,72.05128205128204,51000.0,191040.0
52000.0,43.691129,2.1626390603826273E-6,52000.0,89.0,77.34565180678726,77.45901639344262,73.62110311750601,52000.0,192048.0
53000.0,44.495189,2.2032494438336124E-6,53000.0,94.39999999999999,88.19735705102535,88.79999999999998,85.60411311053984,53000.0,195232.0
54000.0,45.290595,2.243664730656892E-6,54000.0,91.10000000000001,80.94397958222352,81.18393234672305,77.35368956743004,54000.0,196408.0
55000.0,46.068384,2.2821723703108724E-6,55000.0,94.6,87.39984039797837,87.08133971291865,82.52427184466018,55000.0,191376.0
56000.0,46.81688,2.3192948015096284E-6,56000.0,91.9,77.59013744715699,77.9291553133515,67.4698795180723,56000.0,191712.0
57000.0,47.56369,2.3564634443881606E-6,57000.0,91.9,79.22650800164138,80.52884615384616,71.57894736842107,57000.0,192384.0
58000.0,48.335876,2.3949621687643226E-6,58000.0,90.0,79.08054825699129,78.30802603036877,76.07655502392345,58000.0,192720.0
59000.0,49.113181,2.4338512421585617E-6,59000.0,92.4,83.12850749449457,83.62068965517241,78.65168539325845,59000.0,193392.0
60000.0,49.87017,2.471789692981789E-6,60000.0,93.89999999999999,85.67779259565356,86.59340659340658,80.38585209003215,60000.0,193728.0
61000.0,50.626243,2.510305015765544E-6,61000.0,92.7,83.98968321504708,83.6322869955157,79.55182072829133,61000.0,196912.0
